date,name,ssg_bout,coach,total_distance_m,high_speed_distance_m,max_vel_ms,acceleration_density,stagnos_trimp
27/07/2019,1,2,0,257.14001,1.92,4.9335,0.72152,617.96
27/07/2019,2,2,0,262.47192,0,4.5205,0.5793,469.3
27/07/2019,4,2,0,275.63425,17.91,5.9785,0.64376,531.48
27/07/2019,5,2,0,317.82605,0,4.8275,0.7399,491.46
27/07/2019,8,2,0,259.9155,17.37,6.0535,0.79246,455.94
27/07/2019,14,2,0,262.54593,0,4.3115,0.57448,393.88
27/07/2019,15,2,0,271.04962,11.13,5.5515,0.80168,582.41
27/07/2019,16,2,0,252.07092,0,4.0535,0.63781,484.96
27/07/2019,18,2,0,241.17786,0,4.0345,0.59871,441.38
22/07/2019,1,2,1,256.43796,2.98,5.2805,0.64214,702.9
22/07/2019,2,2,1,274.43399,3.23,4.9335,0.69954,570.89
22/07/2019,3,2,1,210.68658,0,4.0265,0.71886,604.68
22/07/2019,6,2,1,266.26776,0,4.2055,0.69397,495.31
22/07/2019,9,2,1,263.25491,7.84,5.4405,0.74663,566.77
22/07/2019,10,2,1,234.40828,0,4.2435,0.72211,564.69
22/07/2019,11,2,1,220.98911,0.46,5.0455,0.70926,610.36
22/07/2019,19,2,1,271.74222,0,4.8385,0.68851,628.72
22/07/2019,13,2,1,257.57571,0,5.0965,0.83031,476.25
24/07/2019,1,3,0,252.83997,0,4.2385,0.69052,686.18
24/07/2019,2,3,0,241.6192,0,3.8095,0.61023,484.59
24/07/2019,3,3,0,233.85107,2.68,4.6335,0.67257,650.94
24/07/2019,4,3,0,248.50557,0,4.5645,0.64182,678.43
24/07/2019,5,3,1,221.90906,0,4.1155,0.66027,553.87
24/07/2019,6,3,1,258.46402,0,4.3745,0.72531,477.89
24/07/2019,7,3,1,259.34805,0,4.1365,0.62809,665.03
24/07/2019,8,3,0,271.73184,0,4.6585,0.80954,562.88
24/07/2019,9,3,1,236.41916,0,4.2995,0.64759,371.83
24/07/2019,10,3,1,220.59595,0,3.8855,0.68504,582.25
24/07/2019,11,3,1,267.27197,11.48,5.5085,0.67421,575.2
24/07/2019,12,3,1,230.78951,0,3.5685,0.61294,646.61
24/07/2019,13,3,1,270.70508,0,4.4895,0.74189,513.2
24/07/2019,14,3,0,243.62305,0,4.3225,0.66824,488.83
24/07/2019,15,3,0,251.87346,3.27,5.2515,0.73957,133.92
24/07/2019,16,3,0,244.84373,0,3.7515,0.64876,556.76
24/07/2019,17,3,0,286.68506,2.08,5.1175,0.70682,689.31
24/07/2019,18,3,1,200.4238,0,4.2185,0.67647,202.5
27/07/2019,1,3,0,258.39209,0,4.6065,0.66951,675.99
27/07/2019,2,3,0,265.12708,1.8,4.9625,0.60957,479.59
27/07/2019,4,3,0,287.54312,0,3.7305,0.6069,563.79
27/07/2019,5,3,0,275.23303,10.74,5.6185,0.77765,541.57
27/07/2019,8,3,0,260.18823,10.07,5.3865,0.8484,482.84
27/07/2019,14,3,0,281.74341,0,3.7175,0.54344,423.65
27/07/2019,15,3,0,264.8696,1.8,5.0245,0.66215,506.68
27/07/2019,16,3,0,259.98383,0,4.0475,0.66877,510.28
27/07/2019,18,3,0,239.77039,6.28,5.3665,0.76829,488.41
17/07/2019,1,3,1,232.4735,0,4.5345,0.70185,702.69
17/07/2019,2,3,1,255.33098,3.6,4.8925,0.62485,344.21
17/07/2019,3,3,1,200.00684,0,4.0825,0.56387,645.23
17/07/2019,4,3,0,231.61401,0,4.6475,0.58888,711.47
17/07/2019,5,3,0,251.46538,1.48,5.0485,0.65543,570.8
17/07/2019,6,3,1,257.31149,0,4.4255,0.63943,495.22
17/07/2019,7,3,0,260.13156,1.87,4.8755,0.64844,671.66
17/07/2019,9,3,1,259.45801,1.83,4.9235,0.71669,489.75
17/07/2019,11,3,1,231.96478,0,4.8485,0.62455,657.38
17/07/2019,20,3,0,261.20297,0,4.6855,0.68267,572.36
17/07/2019,19,3,1,222.71722,7.07,5.4215,0.70694,120.63
17/07/2019,12,3,0,234.84756,0,4.0995,0.72157,673.65
17/07/2019,13,3,1,260.12103,1.39,5.1515,0.72729,547.59
17/07/2019,21,3,1,236.99274,0.46,4.9285,0.69332,551.62
17/07/2019,14,3,0,251.36983,4.93,5.3015,0.57443,505.89
17/07/2019,15,3,0,273.17352,1.36,4.8995,0.80774,672.29
17/07/2019,16,3,0,226.07425,2.61,4.6885,0.70048,548.81
17/07/2019,18,3,0,245.38852,0,4.3865,0.66061,653.23
22/07/2019,1,3,1,257.34253,3.42,5.3135,0.77343,739.88
22/07/2019,2,3,1,265.35913,0,4.6445,0.71438,632.56
22/07/2019,3,3,1,198.57092,0,4.3825,0.64892,693.87
22/07/2019,6,3,1,288.04034,0,4.8825,0.81594,531
22/07/2019,9,3,1,264.31354,5.4,5.8255,0.70591,555.94
22/07/2019,10,3,1,223.95677,0,5.0085,0.71848,637.48
22/07/2019,11,3,1,217.49048,3.59,5.4405,0.76148,606.37
22/07/2019,19,3,1,269.19809,4.78,5.5595,0.71746,668.85
22/07/2019,13,3,1,245.85783,0,4.5715,0.79299,477.55
24/07/2019,1,4,0,232.48091,3.81,5.4175,0.70768,657.16
24/07/2019,2,4,0,251.63815,0,4.3165,0.57558,470.94
24/07/2019,3,4,0,220.58867,2.23,4.8205,0.71021,545.96
24/07/2019,4,4,0,227.25098,0,4.5035,0.68326,655.67
24/07/2019,5,4,1,242.80197,0,4.1585,0.67443,646.19
24/07/2019,6,4,1,262.13718,0,3.6805,0.69637,487.22
24/07/2019,7,4,1,235.87207,1.17,4.8985,0.76975,706.85
24/07/2019,8,4,0,260.75104,1.43,5.2105,0.86007,591.84
24/07/2019,9,4,1,223.88753,0,4.6465,0.73223,421.14
24/07/2019,10,4,1,235.64197,0,4.1955,0.78614,637.96
24/07/2019,11,4,1,218.68506,0,3.5585,0.68646,530.84
24/07/2019,12,4,1,224.80075,0,4.3745,0.6744,646.75
24/07/2019,13,4,1,273.96014,0,4.0475,0.70931,498.77
24/07/2019,14,4,0,232.01883,0,4.5095,0.68489,486.82
24/07/2019,15,4,0,278.26666,0,4.1095,0.67007,330.36
24/07/2019,16,4,0,240.28632,0,3.9895,0.59626,535.05
24/07/2019,17,4,0,245.03448,0,4.8495,0.75229,637.82
24/07/2019,18,4,1,190.95531,0,3.6485,0.69455,190
27/07/2019,1,4,0,233.073,3.62,4.9545,0.71794,600.12
27/07/2019,2,4,0,259.07703,2.78,5.0535,0.66836,533.34
27/07/2019,4,4,0,239.19202,2.47,5.1875,0.59017,587.61
27/07/2019,5,4,0,276.14685,3.48,5.3125,0.73716,567.74
27/07/2019,8,4,0,242.38005,14.53,5.6115,0.73406,470.39
27/07/2019,14,4,0,260.74561,0,3.5855,0.61218,429.03
27/07/2019,15,4,0,267.88785,0,4.5285,0.67776,491.92
27/07/2019,16,4,0,253.99695,0,4.3705,0.59856,518.33
27/07/2019,18,4,0,248.28439,0,4.3765,0.73763,533.68
17/07/2019,1,4,1,260.88846,0,4.4705,0.66896,729.34
17/07/2019,2,4,1,255.94728,0,4.0585,0.58725,497.8
17/07/2019,3,4,1,209.56436,0,3.4665,0.54554,642.05
17/07/2019,4,4,0,239.23404,0,3.7225,0.55415,678.92
17/07/2019,5,4,0,247.5657,0,4.5915,0.64316,688.22
17/07/2019,6,4,1,265.64063,0,4.7015,0.66547,494.36
17/07/2019,7,4,0,250.44226,2.74,4.8775,0.69315,661.79
17/07/2019,9,4,1,262.60626,0,4.0535,0.67049,502.35
17/07/2019,11,4,1,244.43831,0,4.5195,0.65399,619.81
17/07/2019,20,4,0,249.18585,0,4.2495,0.63313,600.14
17/07/2019,19,4,1,244.78102,4.49,5.3865,0.77544,303.44
17/07/2019,12,4,0,242.66895,1.25,4.9625,0.61303,739.37
17/07/2019,13,4,1,281.39789,0,4.3695,0.73095,546.39
17/07/2019,21,4,1,231.98193,2.45,5.0925,0.6579,535.75
17/07/2019,14,4,0,231.40787,0,4.2995,0.67285,531.94
17/07/2019,15,4,0,250.26294,0,4.1025,0.70495,650.22
17/07/2019,16,4,0,237.96191,6.29,5.0795,0.71741,687.08
17/07/2019,18,4,0,213.55737,0,4.0585,0.7036,572.64
22/07/2019,1,4,1,231.06364,0,4.1965,0.67434,721.28
22/07/2019,2,4,1,251.97371,0,4.0855,0.68142,647.74
22/07/2019,3,4,1,198.66187,0,4.3145,0.69365,683.57
22/07/2019,6,4,1,255.8188,0,3.8515,0.6738,484.06
22/07/2019,9,4,1,248.95654,0,4.2455,0.76916,555.94
22/07/2019,10,4,1,231.02502,0,4.9505,0.70259,660.72
22/07/2019,11,4,1,218.47862,0,4.4955,0.73718,577.68
22/07/2019,19,4,1,257.70709,1.37,5.0265,0.68158,675.78
22/07/2019,13,4,1,256.6178,0,4.3145,0.77989,478.86
24/07/2019,1,5,0,240.91455,3.81,5.1325,0.68706,745.71
24/07/2019,2,5,0,253.1183,0,3.8945,0.66612,518.25
24/07/2019,3,5,0,218.89072,1.3,4.8085,0.66485,711.76
24/07/2019,4,5,0,235.72015,1.91,5.0155,0.65711,705.74
24/07/2019,5,5,1,237.21587,3.03,5.0715,0.73087,698.63
24/07/2019,6,5,1,287.03909,0,4.3755,0.74257,513.37
24/07/2019,7,5,1,233.98946,2.34,4.9155,0.69755,723.51
