players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,stagnos_trimp
27,15/07/2019,2,268.1601,0,0.69764,26.02157,9.35387,0,336.73
28,15/07/2019,2,306.54285,0,0.80064,28.84215,7.97958,1,659.93
29,15/07/2019,2,320.38638,5.76,0.89903,35.98047,11.47528,2,500.4
30,15/07/2019,2,296.41833,0,0.77526,32.52579,10.60511,0,617.73
31,15/07/2019,2,248.81662,2.4,0.73168,23.3964,8.21043,0,607.34
39,15/07/2019,2,302.51508,0.43,0.82973,34.59881,10.17582,3,680.53
34,15/07/2019,2,324.20032,0,0.86652,41.09301,11.02435,1,563.01
35,15/07/2019,2,323.0751,0,0.81801,35.68871,11.41404,1,471.28
33,15/07/2019,2,295.24249,0,0.75015,30.07949,9.13684,0,590.29
14,15/07/2019,2,294.75607,0.46,0.75263,25.57183,7.49436,0,637.14
36,15/07/2019,2,285.75888,0,0.80835,28.81741,9.8752,2,483.43
37,15/07/2019,2,328.01578,0,0.69656,29.86785,7.37637,0,585.2
38,15/07/2019,2,338.82086,26.69,0.81642,35.03667,8.58597,0,351.31
23,15/07/2019,2,292.25781,3.1,0.76388,33.4064,10.84933,4,499.82
24,15/07/2019,3,301.14099,3.33,0.75807,31.91417,10.17178,0,543.49
25,15/07/2019,3,258.43936,13.17,0.77867,27.75021,9.36773,0,460.36
26,15/07/2019,3,302.25906,1.54,0.76965,32.95755,10.43607,0,453.08
27,15/07/2019,3,283.1795,2.12,0.83635,30.58271,11.09531,0,470.19
28,15/07/2019,3,320.69455,0,0.73722,30.76779,8.96962,1,702.27
29,15/07/2019,3,282.86459,0,0.87835,33.08905,14.17214,1,495.77
30,15/07/2019,3,312.92493,17.79,0.74763,31.3203,10.52686,0,634.48
31,15/07/2019,3,260.01526,1.43,0.77418,25.50608,8.11864,0,334.75
39,15/07/2019,3,296.70636,4.43,0.87493,35.24355,10.81214,4,719.72
34,15/07/2019,3,300.17773,2.77,0.81036,39.70922,11.96204,3,600.86
35,15/07/2019,3,291.9418,0,0.72247,32.39033,13.43932,2,443.75
33,15/07/2019,3,296.10281,7.64,0.7541,30.8223,8.93256,0,300.3
14,15/07/2019,3,312.40048,4.31,0.6943,26.8455,7.17363,0,663.97
36,15/07/2019,3,239.93053,0,0.8157,26.80902,11.01797,4,547.75
37,15/07/2019,3,319.92053,3.22,0.62185,30.69656,7.45338,2,632.3
38,15/07/2019,3,330.1597,0,0.64421,32.84829,8.29868,0,0
23,15/07/2019,3,301.84052,6.41,0.7313,34.70202,9.96913,3,473.78
24,15/07/2019,4,296.27527,6.13,0.71883,29.03593,9.65411,0,480.95
25,15/07/2019,4,327.64883,16.83,0.65622,31.75983,8.93954,0,497.83
26,15/07/2019,4,332.11588,8.85,0.71315,33.57763,9.04295,0,476.66
27,15/07/2019,4,295.9202,0,0.72389,31.40676,10.82118,0,463.62
28,15/07/2019,4,268.8848,3.18,0.67452,26.22452,9.68481,3,745.57
29,15/07/2019,4,255.80756,0,0.73585,29.35583,11.35847,3,443.47
30,15/07/2019,4,308.49347,3.17,0.70464,31.07397,9.65838,0,644
31,15/07/2019,4,267.35196,1.83,0.79918,26.11289,7.89638,0,375.63
39,15/07/2019,4,328.46408,0,0.71853,33.76431,7.35513,0,737.31
34,15/07/2019,4,327.01566,0,0.68297,40.55368,9.1942,1,620.57
35,15/07/2019,4,276.22293,0,0.70467,29.65358,12.47656,2,418.91
33,15/07/2019,4,318.70438,0,0.81854,34.24751,8.65613,0,415.41
14,15/07/2019,4,331.08606,0,0.73363,27.44208,6.98528,0,680.61
36,15/07/2019,4,270.5975,8.8,0.78304,26.56447,9.18111,2,517.98
37,15/07/2019,4,291.80731,0,0.75431,28.19853,9.14149,6,667.31
38,15/07/2019,4,298.56528,8.33,0.78665,29.35623,7.78505,0,350.83
23,15/07/2019,4,291.60385,0,0.62,32.88356,10.79108,2,523.04
24,15/07/2019,5,267.85565,0,0.74046,26.30553,8.79789,0,473.19
25,15/07/2019,5,299.09134,0,0.62444,29.85293,8.3956,0,454.57
26,15/07/2019,5,337.97891,32.21,0.76925,36.12577,8.70277,0,447.11
27,15/07/2019,5,298.57925,9.93,0.73571,32.01808,8.4476,0,480.39
28,15/07/2019,5,270.87741,0,0.65144,25.67497,9.20354,3,640.34
29,15/07/2019,5,287.12033,0,0.77845,31.94234,10.20494,1,466.7
30,15/07/2019,5,302.29788,1.01,0.76908,30.18381,10.05318,0,650.67
31,15/07/2019,5,272.29855,0,0.74908,25.984,8.73717,0,212.64
39,15/07/2019,5,264.62537,5.79,0.80671,30.26244,10.31133,4,663.93
34,15/07/2019,5,289.97867,0,0.77069,36.5751,10.07655,3,653.56
35,15/07/2019,5,266.54803,0,0.7872,30.19415,13.62886,1,444.45
33,15/07/2019,5,315.24707,0,0.69162,33.94049,9.13765,0,375.51
14,15/07/2019,5,299.99268,0,0.73774,24.73064,7.04199,0,672.16
36,15/07/2019,5,228.40231,14.88,0.73602,22.95669,11.1752,2,517.26
37,15/07/2019,5,289.62433,4.46,0.6372,27.38665,10.70992,2,597.02
38,15/07/2019,5,285.66351,0,0.64852,28.64309,10.22289,0,481.14
23,15/07/2019,5,277.53,9.43,0.73457,31.82952,11.19461,4,510.63
24,15/07/2019,6,323.92914,6.46,0.71721,30.82529,8.31461,0,618.02
25,15/07/2019,6,324.71765,3.67,0.73845,32.34168,7.76678,0,465.17
26,15/07/2019,6,336.09677,23.75,0.7424,36.87734,10.26445,0,495.83
27,15/07/2019,6,311.21042,0,0.71516,30.37223,6.84604,0,474.43
28,15/07/2019,6,314.61163,0,0.68978,29.32291,8.97836,3,673.52
29,15/07/2019,6,292.15677,2.83,0.80224,31.93196,11.52536,1,493.18
30,15/07/2019,6,325.49564,2.68,0.69997,31.47116,7.46149,0,702.26
31,15/07/2019,6,282.93869,9.85,0.79276,26.44636,7.84255,0,205.66
39,15/07/2019,6,246.81015,7.34,0.79012,26.44858,10.02493,4,713.55
34,15/07/2019,6,290.80206,0,0.77556,34.80547,12.44106,1,613.18
35,15/07/2019,6,276.31528,0,0.70652,26.78154,11.43205,0,443.89
33,15/07/2019,6,282.28122,5.69,0.76196,28.95596,8.02036,0,572.53
14,15/07/2019,6,301.04715,0.49,0.67273,26.9969,9.80096,0,632.63
36,15/07/2019,6,255.86757,13.9,0.7793,24.92699,9.22466,2,529.68
37,15/07/2019,6,301.31427,0,0.66555,28.43717,8.85897,3,608.35
38,15/07/2019,6,287.74789,0,0.66598,27.8701,8.43712,0,484.3
23,15/07/2019,6,296.77661,0,0.72336,34.55618,11.45308,4,543.27
24,17/07/2019,1,232.31845,0,0.76306,25.12518,11.36996,0,579.25
25,17/07/2019,1,273.44583,0,0.64563,27.57149,8.25545,0,511.68
26,17/07/2019,1,262.47064,0.5,0.76142,29.70936,11.32527,0,522.38
27,17/07/2019,1,233.85229,8.08,0.71622,25.64064,10.52606,0,534.3
28,17/07/2019,1,299.87515,6.58,0.85584,30.29466,9.58252,4,676.34
29,17/07/2019,1,274.8584,3.38,0.72957,33.59791,11.42076,4,473.76
30,17/07/2019,1,269.06821,0,0.74452,28.21592,12.01174,0,670.7
31,17/07/2019,1,255.31097,0,0.78529,23.92987,7.42251,0,129
39,17/07/2019,1,288.60809,0,0.93388,32.77427,10.16284,4,683.61
34,17/07/2019,1,252.02267,0,0.86895,33.80946,12.77644,3,614.61
35,17/07/2019,1,267.93295,0,0.73445,30.79628,14.77235,1,418.15
33,17/07/2019,1,226.47139,0,0.64743,24.12544,9.49955,0,201.24
14,17/07/2019,1,232.6492,0.41,0.80736,23.67994,8.63546,0,350.88
36,17/07/2019,1,244.172,0,0.8732,25.74232,10.11211,3,470.34
