players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
28,13/07/2019,3,349.75476,23.09,0.75526,33.47975,10.94206,0,0,747.63
29,13/07/2019,3,333.15601,19.47,0.65568,43.2038,15.12982,4,2,358.14
7,13/07/2019,3,324.27353,12,0.76294,38.44775,13.72646,2,2,567.58
6,13/07/2019,3,299.40463,10.26,0.6798,33.88938,13.56863,2,2,751.44
30,13/07/2019,3,229.01839,0,0.50013,22.25388,14.5903,0,0,514.49
31,13/07/2019,3,330.1633,12.9,0.69313,29.07163,7.34515,2,1,477.62
8,13/07/2019,3,288.19492,2.38,0.64391,27.98908,11.73065,1,1,688.76
9,13/07/2019,3,304.34009,0,0.60692,37.43362,16.5845,0,0,586.27
11,13/07/2019,3,284.70291,0,0.59796,27.03671,12.46158,0,0,603.45
12,13/07/2019,3,309.19824,6.47,0.7595,38.76377,15.26491,2,2,664.62
35,13/07/2019,3,363.27057,34.09,0.75619,38.46933,9.46988,6,3,548.01
34,13/07/2019,3,401.71954,6.48,0.72674,47.15787,11.53152,0,0,581.02
13,13/07/2019,3,291.03342,1.31,0.62423,26.88657,10.6346,1,4,774.3
14,13/07/2019,3,310.11102,10.73,0.73754,26.93179,9.98637,2,0,657.2
15,13/07/2019,3,276.20062,0,0.60133,22.48495,9.01221,0,1,586.13
36,13/07/2019,3,284.32434,0,0.73029,27.76009,8.75032,0,0,409.03
16,13/07/2019,3,342.65109,3.02,0.8101,36.43773,10.98126,2,2,582.76
17,13/07/2019,3,302.69876,12.63,0.66577,31.08606,12.30293,3,1,685.64
19,13/07/2019,3,313.35196,5.53,0.65182,30.69156,11.50861,1,4,559.9
18,13/07/2019,3,329.79349,2.47,0.60427,33.64625,10.75731,0,0,576.45
20,13/07/2019,3,259.87262,0,0.59487,28.93504,14.9841,0,0,630.07
37,13/07/2019,3,283.67914,0,0.60928,27.11523,9.00789,5,1,392.02
38,13/07/2019,3,398.44879,21.35,0.78069,39.84711,9.242,0,0,568.7
22,13/07/2019,3,281.67841,0,0.63463,31.86913,12.28038,0,1,581.93
23,13/07/2019,3,307.47223,8.42,0.67268,32.537,12.60094,3,2,595.81
24,15/07/2019,1,268.31372,2.1,0.58381,24.31218,9.29869,0,0,461.86
25,15/07/2019,1,335.21997,12.31,0.57525,31.56205,9.4771,0,0,625.19
1,15/07/2019,1,278.95035,0,0.64496,31.46519,11.63846,3,2,831.16
2,15/07/2019,1,288.15271,0,0.56284,29.10743,13.56718,0,0,549.4
3,15/07/2019,1,262.37195,0,0.59478,33.37985,14.70267,1,4,585.21
26,15/07/2019,1,422.172,0,0.73815,39.49259,8.21457,0,0,511.83
4,15/07/2019,1,326.58536,0,0.55294,41.59417,14.28166,0,0,907.1
5,15/07/2019,1,289.21289,1.43,0.53416,26.02955,11.03255,0,0,397.66
27,15/07/2019,1,331.43604,0,0.54005,30.04691,8.46933,0,0,551.87
28,15/07/2019,1,288.37183,0,0.6296,25.63395,10.97322,1,0,564.93
29,15/07/2019,1,313.87207,6.34,0.63651,36.15947,12.77443,2,0,464.31
6,15/07/2019,1,281.16315,0,0.59015,29.7325,11.04483,0,0,638.37
7,15/07/2019,1,316.51447,0,0.63617,35.3756,11.8817,1,4,541.33
30,15/07/2019,1,311.36719,0,0.61649,28.51043,8.939,0,0,735.05
31,15/07/2019,1,252.82202,7.91,0.50991,21.65751,9.70122,0,0,639.26
8,15/07/2019,1,285.17804,3.65,0.57019,24.92164,10.49907,0,0,0
39,15/07/2019,1,246.72496,7.48,0.72718,26.29531,11.45624,5,1,748.94
9,15/07/2019,1,289.41272,0,0.61193,32.72318,13.36987,0,0,403.19
10,15/07/2019,1,273.97336,0,0.5283,22.50632,11.64439,1,1,551.61
11,15/07/2019,1,301.50748,1.47,0.73148,29.21556,8.46107,2,2,667.22
12,15/07/2019,1,305.14795,0,0.63684,33.66602,14.88084,0,0,651.35
35,15/07/2019,1,398.37335,3.87,0.78782,39.54573,9.41203,2,2,497.02
34,15/07/2019,1,380.46997,0,0.66832,44.14021,10.4218,0,1,611.59
33,15/07/2019,1,265.22253,1.06,0.5701,23.6092,9.48526,0,0,346.16
