players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
4,15/07/2019,1,226.81052,0,0.64396,29.45248,16.33093,2,2,774
5,15/07/2019,1,242.69702,0,0.74876,30.93159,14.58372,5,5,705.72
7,15/07/2019,1,216.6593,0,0.63536,27.6851,14.09573,0,0,536.95
6,15/07/2019,1,262.53568,0,0.73998,34.35349,15.05743,3,0,701.96
8,15/07/2019,1,255.72629,0,0.68569,29.97863,13.92513,3,3,552.33
9,15/07/2019,1,239.93143,3.35,0.72755,34.53292,17.89038,0,0,514.41
10,15/07/2019,1,225.98038,0,0.64154,21.89045,14.02577,0,0,551.12
11,15/07/2019,1,231.07996,0,0.69866,25.35846,13.40266,0,0,654.46
12,15/07/2019,1,252.28479,0,0.73469,34.82967,14.55151,3,1,568.25
13,15/07/2019,1,229.15167,0,0.66026,24.24221,13.26457,0,0,521.9
15,15/07/2019,1,216.55911,0,0.68797,24.16998,12.2545,3,5,592.05
16,15/07/2019,1,252.77448,0,0.72384,32.08802,13.83511,0,0,569.73
17,15/07/2019,1,227.39372,8.75,0.67036,29.5375,14.57796,0,0,620.21
18,15/07/2019,1,239.83481,0,0.72723,29.25175,13.52263,2,1,508.06
19,15/07/2019,1,264.18896,0,0.6857,29.52564,11.99358,1,3,658.37
20,15/07/2019,1,248.46327,1.7,0.70934,35.21571,15.7644,3,0,589.03
22,15/07/2019,1,237.03366,0,0.66446,30.29369,15.04145,1,3,610.81
1,15/07/2019,2,200.22693,0,0.68488,27.52839,17.43232,0,0,725.33
2,15/07/2019,2,224.95253,0,0.67232,31.70764,18.68306,0,0,549.14
3,15/07/2019,2,208.95137,1.15,0.67611,33.16976,17.79102,0,0,636.6
4,15/07/2019,2,207.32187,0,0.61602,28.69754,14.08778,4,2,720.79
5,15/07/2019,2,218.11993,0,0.69077,30.07193,15.88303,3,6,651.74
7,15/07/2019,2,225.95085,0,0.70523,30.36347,16.05852,0,0,533.19
6,15/07/2019,2,229.56088,1.73,0.7356,29.33148,15.69956,3,3,684.69
8,15/07/2019,2,226.0591,0,0.68967,26.62746,13.89635,4,1,638.15
9,15/07/2019,2,208.40379,0,0.64757,29.49119,17.33466,0,0,453.85
10,15/07/2019,2,214.76741,0,0.66743,22.79095,14.45981,0,0,531.92
11,15/07/2019,2,201.36104,0,0.68324,25.56181,15.00335,0,0,550.95
12,15/07/2019,2,226.37582,0.8,0.70444,32.53172,18.15347,4,1,530.17
13,15/07/2019,2,240.77597,0,0.69284,27.01084,13.76835,0,0,503.08
15,15/07/2019,2,203.60423,0,0.67701,21.72198,11.22632,2,4,549.53
16,15/07/2019,2,243.40781,0,0.74848,29.29769,14.08336,0,0,526.16
17,15/07/2019,2,226.65259,0.99,0.69059,27.06384,15.12951,0,0,646.54
18,15/07/2019,2,246.48557,0,0.74068,28.67792,13.28794,2,0,509.13
19,15/07/2019,2,237.38852,0,0.74289,26.93299,14.52074,2,2,646.42
20,15/07/2019,2,198.129,0,0.6028,26.55687,15.906,2,3,599.93
22,15/07/2019,2,219.36365,0,0.61256,26.5961,15.38777,1,0,528.46
1,15/07/2019,3,206.95502,0,0.69793,24.65636,14.63376,0,0,741.45
2,15/07/2019,3,213.70847,0,0.67237,30.7147,17.79625,0,0,615.49
3,15/07/2019,3,226.09624,0,0.66782,32.8327,15.09459,0,0,638.97
4,15/07/2019,3,197.73096,0,0.59944,24.79696,12.61657,3,2,741.98
5,15/07/2019,3,207.88371,0,0.64609,30.17301,15.90411,5,4,624.6
7,15/07/2019,3,222.14058,0,0.65273,29.45527,14.35536,0,0,448.29
6,15/07/2019,3,208.84764,0,0.65609,28.51311,15.65071,3,2,620.28
8,15/07/2019,3,232.08597,0,0.65971,28.45744,16.5994,4,3,520.37
9,15/07/2019,3,232.35458,0,0.6345,31.1084,16.09558,0,0,472.37
10,15/07/2019,3,220.87407,9.85,0.66168,23.57881,12.50063,0,0,614.43
11,15/07/2019,3,217.125,0.89,0.77398,23.25945,10.048,0,0,522.21
12,15/07/2019,3,225.12668,0,0.62467,32.40617,19.54881,3,2,588.04
13,15/07/2019,3,244.99799,8.18,0.76613,27.7923,12.38785,0,0,573.69
15,15/07/2019,3,196.7171,0,0.57894,18.83941,11.26357,0,3,599.26
16,15/07/2019,3,256.79022,0,0.78077,30.97646,13.9032,0,0,570.93
17,15/07/2019,3,230.813,0,0.6658,33.04099,19.50703,0,0,552.68
18,15/07/2019,3,226.94963,0,0.62454,27.25111,14.33193,1,2,497.25
19,15/07/2019,3,221.69637,3.29,0.63643,24.41022,12.98967,3,1,630.15
20,15/07/2019,3,202.9852,0,0.65294,28.8113,15.84343,5,5,655.73
22,15/07/2019,3,197.22725,0,0.54641,23.79784,16.10114,1,0,573.75
1,15/07/2019,4,202.41069,2.24,0.66765,28.76233,16.195,0,0,714.06
2,15/07/2019,4,224.57532,0,0.6008,28.18965,16.0956,0,0,650.14
3,15/07/2019,4,212.24977,0,0.58627,28.78045,15.94814,0,0,569.85
4,15/07/2019,4,197.27356,0,0.488,22.43213,17.85999,2,0,716.12
5,15/07/2019,4,230.15076,0,0.58159,24.44361,14.16061,2,2,551.46
7,15/07/2019,4,242.31882,0,0.62746,29.99726,13.38734,0,0,500.24
6,15/07/2019,4,252.09859,0,0.6004,33.04361,15.75641,4,1,715.65
8,15/07/2019,4,251.35667,8.87,0.67157,25.76377,12.41679,0,1,552.33
9,15/07/2019,4,227.02884,0,0.60356,31.37163,16.18117,0,0,455.75
10,15/07/2019,4,215.24571,0,0.66794,22.80535,12.97498,0,0,642.43
11,15/07/2019,4,229.06245,0,0.70355,23.94373,9.91032,0,0,623.53
12,15/07/2019,4,238.21767,13.85,0.71572,32.7832,17.02788,5,2,610.36
13,15/07/2019,4,232.27716,1.35,0.64925,29.21451,14.99498,0,0,615.83
15,15/07/2019,4,220.22278,0,0.65963,23.2694,11.36995,2,5,664.17
16,15/07/2019,4,252.54909,0,0.67073,31.00641,16.9034,0,0,575.82
17,15/07/2019,4,235.68214,0,0.6205,31.4203,15.54047,0,0,553.92
18,15/07/2019,4,230.67055,1.29,0.63272,27.24415,13.043,3,2,544.18
19,15/07/2019,4,249.24138,4.81,0.707,26.65046,11.46584,1,7,688.82
20,15/07/2019,4,236.62839,0,0.60312,27.67976,15.61781,0,0,572.17
22,15/07/2019,4,216.77745,3.16,0.6777,28.52983,11.84991,7,1,630.76
1,15/07/2019,5,170.54504,0,0.54415,21.96175,15.2433,0,0,720.14
2,15/07/2019,5,216.8656,0,0.67034,27.64747,15.81595,0,0,646.77
3,15/07/2019,5,209.271,0,0.66134,27.97849,14.54437,0,0,589.16
4,15/07/2019,5,208.40527,3.83,0.62779,27.09003,14.0087,4,1,718.73
5,15/07/2019,5,208.2991,0,0.67021,25.61771,15.55705,3,4,500.65
7,15/07/2019,5,225.23669,0,0.66766,27.11202,13.18239,0,0,463.6
6,15/07/2019,5,213.04285,1.34,0.71626,27.44078,12.52899,5,3,698.7
8,15/07/2019,5,220.7094,0,0.6829,25.25332,12.78929,3,5,527.68
9,15/07/2019,5,222.7644,0,0.59398,29.27457,15.5311,0,0,488.46
10,15/07/2019,5,205.51826,0,0.65721,21.40342,12.2981,0,0,633.38
11,15/07/2019,5,181.46878,0,0.75529,21.5928,10.61224,0,0,567.6
12,15/07/2019,5,248.29379,0,0.59351,30.05734,16.27515,1,0,565.65
13,15/07/2019,5,220.95882,0,0.64831,25.32705,14.43332,0,0,533.13
15,15/07/2019,5,186.95903,0,0.5864,19.05541,10.54279,2,3,508.6
16,15/07/2019,5,229.72769,0,0.69981,25.562,12.22032,0,0,513.12
17,15/07/2019,5,213.42148,0,0.67012,30.3009,15.04546,0,0,680.01
18,15/07/2019,5,239.55132,0,0.55275,28.22657,15.00104,1,1,541.6
19,15/07/2019,5,240.13127,0,0.61728,26.68013,13.83105,2,1,660.61
20,15/07/2019,5,188.14603,0.75,0.60623,30.67029,17.19156,5,1,594.99
22,15/07/2019,5,205.83521,0,0.53108,24.2719,14.04298,0,2,538.24
1,15/07/2019,6,224.81396,0,0.6603,26.94657,12.78387,0,0,723.89
2,15/07/2019,6,204.50574,0,0.63238,28.42114,16.4101,0,0,631.42
3,15/07/2019,6,217.55762,0,0.65066,33.04063,15.5822,0,0,615.4
